[2018-09-17T16:24:23.273] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T16:28:32.594] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T16:29:58.149] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T16:30:14.985] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T16:31:18.149] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T16:32:47.177] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T16:33:08.753] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T16:33:43.906] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T16:33:58.927] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T16:40:51.324] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T16:41:08.465] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T16:41:25.257] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T17:21:37.816] [INFO] cheese - { username: 'admin', password: 'admin' }
[2018-09-17T17:36:51.605] [INFO] cheese - { username: 'admin', password: 'admin' }
